"Accession" "TF" "Tissue" "Cell" "IMPACT" "File" "CellDeriv"
"GSM798433" "ESR1" "BREAST" "MCF-7" "15" "PRJNA147213_GSM798433_ESR1_peaks.narrowPeak" "Breast"
"GSM798434" "ESR1" "BREAST" "MCF-7" "15" "PRJNA147213_GSM798434_ESR1_peaks.narrowPeak" "Breast"
"GSM798435" "ESR1" "BREAST" "MCF-7" "15" "PRJNA147213_GSM798435_ESR1_peaks.narrowPeak" "Breast"
"GSM798436" "FOXA1" "BREAST" "MCF-7" "99" "PRJNA147213_GSM798436_FOXA1_peaks.narrowPeak" "Breast"
"GSM798437" "FOXA1" "BREAST" "MCF-7" "99" "PRJNA147213_GSM798437_FOXA1_peaks.narrowPeak" "Breast"
"GSM798438" "FOXA1" "BREAST" "MCF-7" "99" "PRJNA147213_GSM798438_FOXA1_peaks.narrowPeak" "Breast"
"GSM798439" "FOXA1" "BREAST" "MCF-7" "99" "PRJNA147213_GSM798439_FOXA1_peaks.narrowPeak" "Breast"
"GSM804013" "GATA1" "BLOOD" "PBMC" "100" "PRJNA147759_GSM804013_GATA1_peaks.narrowPeak" "PBMC"
"GSM804014" "GATA1" "BLOOD" "PBMC" "100" "PRJNA147759_GSM804014_GATA1_peaks.narrowPeak" "PBMC"
"GSM837986" "GATA3" "BLOOD" "CCRF-CEM" "101" "PRJNA148179_GSM837986_GATA3_peaks.narrowPeak" "T cell"
"GSM837994" "RUNX1" "BLOOD" "CCRF-CEM" "102" "PRJNA148179_GSM837994_RUNX1_peaks.narrowPeak" "T cell"
"GSM837995" "RUNX1" "BLOOD" "CCRF-CEM" "102" "PRJNA148179_GSM837995_RUNX1_peaks.narrowPeak" "T cell"
"GSM838675" "ATF3" "NEURAL" "GBM1-HAM" "103" "PRJNA148249_GSM838675_ATF3_peaks.narrowPeak" "Brain"
"GSM838400" "RUNX2" "PROSTATE" "C4-2" "104" "PRJNA148325_GSM838400_RUNX2_peaks.narrowPeak" "Prostate"
"GSM856791" "ARNT" "KIDNEY" "786-O" "105" "PRJNA150099_GSM856791_ARNT_peaks.narrowPeak" "Kidney"
"GSM894058" "MYC" "BLOOD" "P493-6" "106" "PRJNA153317_GSM894058_MYC_peaks.narrowPeak" "B cell"
"GSM894059" "MYC" "BLOOD" "P493-6" "106" "PRJNA153317_GSM894059_MYC_peaks.narrowPeak" "B cell"
"GSM894060" "MYC" "BLOOD" "P493-6" "106" "PRJNA153317_GSM894060_MYC_peaks.narrowPeak" "B cell"
"GSM894061" "MYC" "NEURAL" "U-87 MG" "107" "PRJNA153317_GSM894061_MYC_peaks.narrowPeak" "Brain"
"GSM894074" "MAX" "BLOOD" "P493-6" "108" "PRJNA153317_GSM894074_MAX_peaks.narrowPeak" "B cell"
"GSM894075" "MAX" "BLOOD" "P493-6" "108" "PRJNA153317_GSM894075_MAX_peaks.narrowPeak" "B cell"
"GSM894076" "MAX" "BLOOD" "P493-6" "108" "PRJNA153317_GSM894076_MAX_peaks.narrowPeak" "B cell"
"GSM894077" "MAX" "NEURAL" "U-87 MG" "109" "PRJNA153317_GSM894077_MAX_peaks.narrowPeak" "Brain"
"GSM894085" "MAX" "BLOOD" "Multiple Myeloma" "110" "PRJNA153317_GSM894085_MAX_peaks.narrowPeak" "Multiple Myeloma"
"GSM894098" "MYC" "LUNG" "NCI-H128" "111" "PRJNA153317_GSM894098_MYC_peaks.narrowPeak" "Lung"
"GSM894099" "MAX" "LUNG" "NCI-H128" "112" "PRJNA153317_GSM894099_MAX_peaks.narrowPeak" "Lung"
"GSM894102" "MYC" "LUNG" "NCI-H2171" "113" "PRJNA153317_GSM894102_MYC_peaks.narrowPeak" "Lung"
"GSM894103" "MAX" "LUNG" "NCI-H2171" "114" "PRJNA153317_GSM894103_MAX_peaks.narrowPeak" "Lung"
"GSM894108" "MYC" "BLOOD" "Multiple Myeloma" "115" "PRJNA153317_GSM894108_MYC_peaks.narrowPeak" "Multiple Myeloma"
"GSM1000576" "MYC" "FIBROBLAST" "BJ" "116" "PRJNA153727_GSM1000576_MYC_peaks.narrowPeak" "Fibroblast"
"GSM896986" "SOX2" "FIBROBLAST" "BJ" "117" "PRJNA153727_GSM896986_SOX2_peaks.narrowPeak" "Fibroblast"
"GSM896987" "KLF4" "FIBROBLAST" "BJ" "118" "PRJNA153727_GSM896987_KLF4_peaks.narrowPeak" "Fibroblast"
"GSM896988" "MYC" "FIBROBLAST" "BJ" "116" "PRJNA153727_GSM896988_MYC_peaks.narrowPeak" "Fibroblast"
"GSM897116" "SMAD3" "STEMCELL" "hESC derived mesendodermal cells" "62" "PRJNA153739_GSM897116_SMAD3_peaks.narrowPeak" "Mesendoderm"
"GSM897117" "SMAD3" "STEMCELL" "hESC derived mesendodermal cells" "62" "PRJNA153739_GSM897117_SMAD3_peaks.narrowPeak" "Mesendoderm"
"GSM897118" "SMAD3" "STEMCELL" "hESC derived mesendodermal cells" "62" "PRJNA153739_GSM897118_SMAD3_peaks.narrowPeak" "Mesendoderm"
"GSM779432" "GABPA" "UTERUS" "HeLa" "119" "PRJNA154023_GSM779432_GABPA_peaks.narrowPeak" "Cervix"
"GSM782156" "CTCF" "BLOOD" "Lymphoma, B-Cell" "120" "PRJNA154051_GSM782156_CTCF_peaks.narrowPeak" "B cell"
"GSM782158" "CTCF" "BLOOD" "Lymphoma, B-Cell" "120" "PRJNA154051_GSM782158_CTCF_peaks.narrowPeak" "B cell"
"GSM768310" "FOXP1" "STEMCELL" "hESC H9" "121" "PRJNA154619_GSM768310_FOXP1_peaks.narrowPeak" "Stem cell"
"GSM768311" "FOXP1" "STEMCELL" "hESC H9" "121" "PRJNA154619_GSM768311_FOXP1_peaks.narrowPeak" "Stem cell"
"GSM759661" "FOXA1" "PROSTATE" "LNCAP" "50" "PRJNA154785_GSM759661_FOXA1_peaks.narrowPeak" "Prostate"
"GSM759662" "FOXA1" "PROSTATE" "LNCAP" "50" "PRJNA154785_GSM759662_FOXA1_peaks.narrowPeak" "Prostate"
"GSM759663" "FOXA1" "PROSTATE" "LNCAP" "50" "PRJNA154785_GSM759663_FOXA1_peaks.narrowPeak" "Prostate"
"GSM759664" "FOXA1" "PROSTATE" "LNCAP" "50" "PRJNA154785_GSM759664_FOXA1_peaks.narrowPeak" "Prostate"
"GSM801056" "ESR1" "BREAST" "H3396" "122" "PRJNA154905_GSM801056_ESR1_peaks.narrowPeak" "Breast"
"GSM801057" "ESR1" "BREAST" "H3396" "122" "PRJNA154905_GSM801057_ESR1_peaks.narrowPeak" "Breast"
"GSM743039" "CDX2" "GI" "COLO 320" "123" "PRJNA155363_GSM743039_CDX2_peaks.narrowPeak" "Colon"
"GSM743040" "CDX2" "GI" "COLO 320" "123" "PRJNA155363_GSM743040_CDX2_peaks.narrowPeak" "Colon"
"GSM970257" "GATA1" "BLOOD" "CD34+" "24" "PRJNA157469_GSM970257_GATA1_peaks.narrowPeak" "Hematopoietic progenitors "
"GSM970258" "GATA1" "BLOOD" "CD34+" "24" "PRJNA157469_GSM970258_GATA1_peaks.narrowPeak" "Hematopoietic progenitors "
"GSM970261" "IRF2" "BLOOD" "CD34+" "124" "PRJNA157469_GSM970261_IRF2_peaks.narrowPeak" "Hematopoietic progenitors "
"GSM989353" "PBX1" "BREAST" "MCF-7-LTED" "125" "PRJNA159579_GSM989353_PBX1_peaks.narrowPeak" "Breast"
"GSM916523" "FOXA1" "PROSTATE" "LNCAP" "50" "PRJNA159621_GSM916523_FOXA1_peaks.narrowPeak" "Prostate"
"GSM916524" "FOXA1" "PROSTATE" "LNCAP" "50" "PRJNA159621_GSM916524_FOXA1_peaks.narrowPeak" "Prostate"
"GSM927071" "ERG" "PROSTATE" "RWPE-1" "57" "PRJNA163079_GSM927071_ERG_peaks.narrowPeak" "Prostate"
"GSM934612" "VDR" "LIVER" "LX2" "126" "PRJNA167284_GSM934612_VDR_peaks.narrowPeak" "Liver"
"GSM934614" "VDR" "LIVER" "LX2" "126" "PRJNA167284_GSM934614_VDR_peaks.narrowPeak" "Liver"
"GSM934615" "SMAD3" "LIVER" "LX2" "127" "PRJNA167284_GSM934615_SMAD3_peaks.narrowPeak" "Liver"
"GSM934616" "SMAD3" "LIVER" "LX2" "127" "PRJNA167284_GSM934616_SMAD3_peaks.narrowPeak" "Liver"
"GSM934617" "VDR" "LIVER" "LX2" "126" "PRJNA167284_GSM934617_VDR_peaks.narrowPeak" "Liver"
"GSM934618" "VDR" "LIVER" "LX2" "126" "PRJNA167284_GSM934618_VDR_peaks.narrowPeak" "Liver"
"GSM941710" "CTCF" "BLOOD" "BCBL1" "128" "PRJNA167828_GSM941710_CTCF_peaks.narrowPeak" "B cell"
"GSM945598" "IRF5" "BLOOD" "PBMC" "129" "PRJNA168219_GSM945598_IRF5_peaks.narrowPeak" "PBMC"
"GSM945599" "IRF5" "BLOOD" "PBMC" "129" "PRJNA168219_GSM945599_IRF5_peaks.narrowPeak" "PBMC"
"GSM945600" "IRF5" "BLOOD" "PBMC" "129" "PRJNA168219_GSM945600_IRF5_peaks.narrowPeak" "PBMC"
"GSM945601" "IRF5" "BLOOD" "PBMC" "129" "PRJNA168219_GSM945601_IRF5_peaks.narrowPeak" "PBMC"
"GSM945602" "IRF5" "BLOOD" "PBMC" "129" "PRJNA168219_GSM945602_IRF5_peaks.narrowPeak" "PBMC"
"GSM945603" "IRF5" "BLOOD" "PBMC" "129" "PRJNA168219_GSM945603_IRF5_peaks.narrowPeak" "PBMC"
"GSM945604" "IRF5" "BLOOD" "PBMC" "129" "PRJNA168219_GSM945604_IRF5_peaks.narrowPeak" "PBMC"
"GSM945605" "IRF5" "BLOOD" "PBMC" "129" "PRJNA168219_GSM945605_IRF5_peaks.narrowPeak" "PBMC"
"GSM945606" "STAT4" "BLOOD" "PBMC" "130" "PRJNA168219_GSM945606_STAT4_peaks.narrowPeak" "PBMC"
"GSM945607" "STAT4" "BLOOD" "PBMC" "130" "PRJNA168219_GSM945607_STAT4_peaks.narrowPeak" "PBMC"
"GSM945608" "STAT4" "BLOOD" "PBMC" "130" "PRJNA168219_GSM945608_STAT4_peaks.narrowPeak" "PBMC"
"GSM945609" "STAT4" "BLOOD" "PBMC" "130" "PRJNA168219_GSM945609_STAT4_peaks.narrowPeak" "PBMC"
"GSM945610" "STAT4" "BLOOD" "PBMC" "130" "PRJNA168219_GSM945610_STAT4_peaks.narrowPeak" "PBMC"
"GSM945611" "STAT4" "BLOOD" "PBMC" "130" "PRJNA168219_GSM945611_STAT4_peaks.narrowPeak" "PBMC"
"GSM945612" "STAT4" "BLOOD" "PBMC" "130" "PRJNA168219_GSM945612_STAT4_peaks.narrowPeak" "PBMC"
"GSM951849" "HSF1" "BREAST" "HMEC" "131" "PRJNA169333_GSM951849_HSF1_peaks.narrowPeak" "Breast"
"GSM951851" "HSF1" "BREAST" "Immortalized mammary epithelial cells" "132" "PRJNA169333_GSM951851_HSF1_peaks.narrowPeak" "Breast"
"GSM951853" "HSF1" "BREAST" "HMEC" "131" "PRJNA169333_GSM951853_HSF1_peaks.narrowPeak" "Breast"
"GSM951855" "HSF1" "BREAST" "BPE" "133" "PRJNA169333_GSM951855_HSF1_peaks.narrowPeak" "Breast"
"GSM951857" "HSF1" "BREAST" "HMLE" "134" "PRJNA169333_GSM951857_HSF1_peaks.narrowPeak" "Breast"
"GSM951859" "HSF1" "BREAST" "BPLER" "135" "PRJNA169333_GSM951859_HSF1_peaks.narrowPeak" "Breast"
"GSM951861" "HSF1" "BREAST" "MCF 10A" "136" "PRJNA169333_GSM951861_HSF1_peaks.narrowPeak" "Breast"
"GSM951862" "HSF1" "BREAST" "MCF 10A" "136" "PRJNA169333_GSM951862_HSF1_peaks.narrowPeak" "Breast"
"GSM951864" "HSF1" "BREAST" "MCF 10A" "136" "PRJNA169333_GSM951864_HSF1_peaks.narrowPeak" "Breast"
"GSM951865" "HSF1" "BREAST" "MCF 10A" "136" "PRJNA169333_GSM951865_HSF1_peaks.narrowPeak" "Breast"
"GSM951867" "HSF1" "LUNG" "NCI-H1703" "137" "PRJNA169333_GSM951867_HSF1_peaks.narrowPeak" "Lung"
"GSM951868" "HSF1" "LUNG" "NCI-H1703" "137" "PRJNA169333_GSM951868_HSF1_peaks.narrowPeak" "Lung"
"GSM951870" "HSF1" "BREAST" "ZR-75-1" "138" "PRJNA169333_GSM951870_HSF1_peaks.narrowPeak" "Breast"
"GSM951871" "HSF1" "BREAST" "ZR-75-1" "138" "PRJNA169333_GSM951871_HSF1_peaks.narrowPeak" "Breast"
"GSM951873" "HSF1" "GI" "SW 620" "139" "PRJNA169333_GSM951873_HSF1_peaks.narrowPeak" "Colon"
"GSM951874" "HSF1" "GI" "SW 620" "139" "PRJNA169333_GSM951874_HSF1_peaks.narrowPeak" "Colon"
"GSM951876" "HSF1" "GI" "HCT-15" "140" "PRJNA169333_GSM951876_HSF1_peaks.narrowPeak" "Colon"
"GSM951877" "HSF1" "GI" "HCT-15" "140" "PRJNA169333_GSM951877_HSF1_peaks.narrowPeak" "Colon"
"GSM951879" "HSF1" "GI" "HT-29" "141" "PRJNA169333_GSM951879_HSF1_peaks.narrowPeak" "Colon"
"GSM951880" "HSF1" "GI" "HT-29" "141" "PRJNA169333_GSM951880_HSF1_peaks.narrowPeak" "Colon"
"GSM951882" "HSF1" "BREAST" "MCF-7" "142" "PRJNA169333_GSM951882_HSF1_peaks.narrowPeak" "Breast"
"GSM951883" "HSF1" "BREAST" "MCF-7" "142" "PRJNA169333_GSM951883_HSF1_peaks.narrowPeak" "Breast"
"GSM951885" "HSF1" "LUNG" "NCI-H441" "143" "PRJNA169333_GSM951885_HSF1_peaks.narrowPeak" "Lung"
"GSM951886" "HSF1" "LUNG" "NCI-H441" "143" "PRJNA169333_GSM951886_HSF1_peaks.narrowPeak" "Lung"
"GSM951888" "HSF1" "BREAST" "SK-BR-3" "144" "PRJNA169333_GSM951888_HSF1_peaks.narrowPeak" "Breast"
"GSM951889" "HSF1" "BREAST" "SK-BR-3" "144" "PRJNA169333_GSM951889_HSF1_peaks.narrowPeak" "Breast"
"GSM951891" "HSF1" "LUNG" "NCI-H838" "145" "PRJNA169333_GSM951891_HSF1_peaks.narrowPeak" "Lung"
"GSM951892" "HSF1" "LUNG" "NCI-H838" "145" "PRJNA169333_GSM951892_HSF1_peaks.narrowPeak" "Lung"
"GSM951894" "HSF1" "BREAST" "BT-20" "146" "PRJNA169333_GSM951894_HSF1_peaks.narrowPeak" "Breast"
"GSM951895" "HSF1" "BREAST" "BT-20" "146" "PRJNA169333_GSM951895_HSF1_peaks.narrowPeak" "Breast"
"GSM951897" "HSF1" "BREAST" "BPE" "133" "PRJNA169333_GSM951897_HSF1_peaks.narrowPeak" "Breast"
"GSM951898" "HSF1" "BREAST" "HMEC" "131" "PRJNA169333_GSM951898_HSF1_peaks.narrowPeak" "Breast"
"GSM951900" "HSF1" "BREAST" "Breast cancer cells" "147" "PRJNA169333_GSM951900_HSF1_peaks.narrowPeak" "Breast"
"GSM951901" "HSF1" "BREAST" "Breast cancer cells" "147" "PRJNA169333_GSM951901_HSF1_peaks.narrowPeak" "Breast"
"GSM951903" "HSF1" "BREAST" "Breast cancer cells" "147" "PRJNA169333_GSM951903_HSF1_peaks.narrowPeak" "Breast"
"GSM951904" "HSF1" "BREAST" "Breast cancer cells" "147" "PRJNA169333_GSM951904_HSF1_peaks.narrowPeak" "Breast"
"GSM951906" "HSF1" "GI" "Colon cancer" "148" "PRJNA169333_GSM951906_HSF1_peaks.narrowPeak" "Colon"
"GSM951907" "HSF1" "GI" "Colon cancer" "148" "PRJNA169333_GSM951907_HSF1_peaks.narrowPeak" "Colon"
"GSM951909" "HSF1" "GI" "Colon cancer" "148" "PRJNA169333_GSM951909_HSF1_peaks.narrowPeak" "Colon"
"GSM951910" "HSF1" "GI" "Colon cancer" "148" "PRJNA169333_GSM951910_HSF1_peaks.narrowPeak" "Colon"
"GSM955977" "HIF1A" "VASCULAR" "HUVEC" "149" "PRJNA169935_GSM955977_HIF1A_peaks.narrowPeak" "Endothelial"
"GSM955978" "HIF1A" "VASCULAR" "HUVEC" "149" "PRJNA169935_GSM955978_HIF1A_peaks.narrowPeak" "Endothelial"
"GSM957608" "GATA3" "BLOOD" "RPMI 8402" "150" "PRJNA170151_GSM957608_GATA3_peaks.narrowPeak" "T cell"
"GSM957609" "GATA3" "BLOOD" "RPMI 8402" "150" "PRJNA170151_GSM957609_GATA3_peaks.narrowPeak" "T cell"
"GSM958752" "FOXA1" "LIVER" "HuH-7" "151" "PRJNA170314_GSM958752_FOXA1_peaks.narrowPeak" "Liver"
"GSM958753" "FOXA1" "LIVER" "HuH-7" "151" "PRJNA170314_GSM958753_FOXA1_peaks.narrowPeak" "Liver"
"GSM958754" "FOXA1" "LIVER" "HuH-7" "151" "PRJNA170314_GSM958754_FOXA1_peaks.narrowPeak" "Liver"
"GSM958755" "FOXA1" "LIVER" "HuH-7" "151" "PRJNA170314_GSM958755_FOXA1_peaks.narrowPeak" "Liver"
"GSM958756" "FOXA1" "LIVER" "HuH-7" "151" "PRJNA170314_GSM958756_FOXA1_peaks.narrowPeak" "Liver"
"GSM958757" "FOXA1" "LIVER" "HuH-7" "151" "PRJNA170314_GSM958757_FOXA1_peaks.narrowPeak" "Liver"
"GSM983105" "FOXA1" "LUNG" "NCI-H3122" "152" "PRJNA172254_GSM983105_FOXA1_peaks.narrowPeak" "Lung"
"GSM984391" "FOXA1" "PROSTATE" "C4-2" "153" "PRJNA172760_GSM984391_FOXA1_peaks.narrowPeak" "Prostate"
"GSM984392" "FOXA1" "PROSTATE" "C4-2" "153" "PRJNA172760_GSM984392_FOXA1_peaks.narrowPeak" "Prostate"
"GSM986059" "ESR1" "BREAST" "MCF-7" "15" "PRJNA172877_GSM986059_ESR1_peaks.narrowPeak" "Breast"
"GSM986060" "ESR1" "BREAST" "MCF-7" "15" "PRJNA172877_GSM986060_ESR1_peaks.narrowPeak" "Breast"
"GSM986063" "ESR1" "BREAST" "MCF-7" "15" "PRJNA172877_GSM986063_ESR1_peaks.narrowPeak" "Breast"
"GSM986064" "ESR1" "BREAST" "MCF-7" "15" "PRJNA172877_GSM986064_ESR1_peaks.narrowPeak" "Breast"
"GSM986065" "FOXA1" "BREAST" "MCF-7" "99" "PRJNA172877_GSM986065_FOXA1_peaks.narrowPeak" "Breast"
"GSM986066" "FOXA1" "BREAST" "MCF-7" "99" "PRJNA172877_GSM986066_FOXA1_peaks.narrowPeak" "Breast"
"GSM986067" "GATA3" "BREAST" "MCF-7" "154" "PRJNA172877_GSM986067_GATA3_peaks.narrowPeak" "Breast"
"GSM986068" "GATA3" "BREAST" "MCF-7" "154" "PRJNA172877_GSM986068_GATA3_peaks.narrowPeak" "Breast"
"GSM986070" "GATA3" "BREAST" "MCF-7" "154" "PRJNA172877_GSM986070_GATA3_peaks.narrowPeak" "Breast"
"GSM986071" "GATA3" "BREAST" "MCF-7" "154" "PRJNA172877_GSM986071_GATA3_peaks.narrowPeak" "Breast"
"GSM986072" "GATA3" "BREAST" "MCF-7" "154" "PRJNA172877_GSM986072_GATA3_peaks.narrowPeak" "Breast"
"GSM986089" "ESR1" "BREAST" "ZR-75-1" "97" "PRJNA172877_GSM986089_ESR1_peaks.narrowPeak" "Breast"
"GSM986090" "ESR1" "BREAST" "ZR-75-1" "97" "PRJNA172877_GSM986090_ESR1_peaks.narrowPeak" "Breast"
"GSM991659" "E2F7" "FIBROBLAST" "IMR-90" "155" "PRJNA173795_GSM991659_E2F7_peaks.narrowPeak" "Lung"
"GSM991660" "E2F7" "FIBROBLAST" "IMR-90" "155" "PRJNA173795_GSM991660_E2F7_peaks.narrowPeak" "Lung"
"GSM991661" "E2F7" "FIBROBLAST" "IMR-90" "155" "PRJNA173795_GSM991661_E2F7_peaks.narrowPeak" "Lung"
"GSM991662" "E2F7" "FIBROBLAST" "IMR-90" "155" "PRJNA173795_GSM991662_E2F7_peaks.narrowPeak" "Lung"
"GSM991663" "E2F7" "FIBROBLAST" "IMR-90" "155" "PRJNA173795_GSM991663_E2F7_peaks.narrowPeak" "Lung"
"GSM1007997" "CTCF" "FIBROBLAST" "WI-38" "156" "PRJNA175631_GSM1007997_CTCF_peaks.narrowPeak" "Lung"
"GSM1007998" "CTCF" "FIBROBLAST" "WI-38" "156" "PRJNA175631_GSM1007998_CTCF_peaks.narrowPeak" "Lung"
"GSM1008617" "MAX" "LUNG" "NCI-H2171" "114" "PRJNA175830_GSM1008617_MAX_peaks.narrowPeak" "Lung"
"GSM1008618" "MAX" "LUNG" "NCI-H128" "112" "PRJNA175830_GSM1008618_MAX_peaks.narrowPeak" "Lung"
"GSM1008619" "MYC" "LUNG" "NCI-H128" "111" "PRJNA175830_GSM1008619_MYC_peaks.narrowPeak" "Lung"
"GSM1008620" "MYC" "LUNG" "NCI-H2171" "113" "PRJNA175830_GSM1008620_MYC_peaks.narrowPeak" "Lung"
"GSM1009647" "ETS1" "VASCULAR" "HUVEC" "157" "PRJNA176027_GSM1009647_ETS1_peaks.narrowPeak" "Endothelial"
"GSM1009648" "ETS1" "VASCULAR" "HUVEC" "157" "PRJNA176027_GSM1009648_ETS1_peaks.narrowPeak" "Endothelial"
"GSM1009649" "ETS1" "VASCULAR" "HUVEC" "157" "PRJNA176027_GSM1009649_ETS1_peaks.narrowPeak" "Endothelial"
"GSM1009650" "ETS1" "VASCULAR" "HUVEC" "157" "PRJNA176027_GSM1009650_ETS1_peaks.narrowPeak" "Endothelial"
"GSM1019122" "E2F4" "BREAST" "MCF-7" "158" "PRJNA177430_GSM1019122_E2F4_peaks.narrowPeak" "Breast"
"GSM1019123" "E2F4" "BREAST" "MCF-7" "158" "PRJNA177430_GSM1019123_E2F4_peaks.narrowPeak" "Breast"
"GSM1019125" "ESR1" "BREAST" "MCF-7" "15" "PRJNA177430_GSM1019125_ESR1_peaks.narrowPeak" "Breast"
"GSM1019128" "ESR1" "BREAST" "MCF-7" "15" "PRJNA177430_GSM1019128_ESR1_peaks.narrowPeak" "Breast"
"GSM1019131" "ESR1" "BREAST" "MCF-7" "15" "PRJNA177430_GSM1019131_ESR1_peaks.narrowPeak" "Breast"
"GSM1019134" "KLF4" "BREAST" "MCF-7" "159" "PRJNA177430_GSM1019134_KLF4_peaks.narrowPeak" "Breast"
"GSM1019136" "RXRA" "BREAST" "MCF-7" "160" "PRJNA177430_GSM1019136_RXRA_peaks.narrowPeak" "Breast"
"GSM1020363" "PPARG" "ADIPOCYTE" "SGBS" "41" "PRJNA177774_GSM1020363_PPARG_peaks.narrowPeak" "Adipocytes"
"GSM1020364" "CEBPA" "ADIPOCYTE" "SGBS" "161" "PRJNA177774_GSM1020364_CEBPA_peaks.narrowPeak" "Adipocytes"
"GSM1024800" "ARNT" "BREAST" "MCF-7" "162" "PRJNA178231_GSM1024800_ARNT_peaks.narrowPeak" "Breast"
"GSM1032075" "RUNX1" "BLOOD" "SEM" "163" "PRJNA179081_GSM1032075_RUNX1_peaks.narrowPeak" "B cell"
"GSM1033754" "MYC" "BLOOD" "Plasma Cells" "164" "PRJNA179218_GSM1033754_MYC_peaks.narrowPeak" "Plasma"
"GSM1033759" "MAX" "BLOOD" "Plasma Cells" "165" "PRJNA179218_GSM1033759_MAX_peaks.narrowPeak" "Plasma"
"GSM1036404" "MYC" "BLOOD" "P493-6" "106" "PRJNA179481_GSM1036404_MYC_peaks.narrowPeak" "B cell"
"GSM1036406" "MAX" "BLOOD" "P493-6" "108" "PRJNA179481_GSM1036406_MAX_peaks.narrowPeak" "B cell"
"GSM1045363" "RUNX1" "BLOOD" "Jurkat" "166" "PRJNA182318_GSM1045363_RUNX1_peaks.narrowPeak" "T cell"
"GSM1055825" "CTCF" "FIBROBLAST" "Lung fibroblasts" "167" "PRJNA184350_GSM1055825_CTCF_peaks.narrowPeak" "Fibroblast"
"GSM1057372" "ZFX" "BLOOD" "NOMO-1" "168" "PRJNA184723_GSM1057372_ZFX_peaks.narrowPeak" "Monocyte"
"GSM1057374" "ZFX" "BLOOD" "RPMI 8402" "169" "PRJNA184723_GSM1057374_ZFX_peaks.narrowPeak" "T cell"
"GSM1057010" "STAT1" "BLOOD" "Monocytes-CD14+" "170" "PRJNA184728_GSM1057010_STAT1_peaks.narrowPeak" "Monocyte"
"GSM1057011" "STAT1" "BLOOD" "Monocytes-CD14+" "170" "PRJNA184728_GSM1057011_STAT1_peaks.narrowPeak" "Monocyte"
"GSM1057012" "STAT1" "BLOOD" "Monocytes-CD14+" "170" "PRJNA184728_GSM1057012_STAT1_peaks.narrowPeak" "Monocyte"
"GSM1057013" "STAT1" "BLOOD" "Monocytes-CD14+" "170" "PRJNA184728_GSM1057013_STAT1_peaks.narrowPeak" "Monocyte"
"GSM1057014" "STAT1" "BLOOD" "Monocytes-CD14+" "170" "PRJNA184728_GSM1057014_STAT1_peaks.narrowPeak" "Monocyte"
"GSM1057015" "STAT1" "BLOOD" "Monocytes-CD14+" "170" "PRJNA184728_GSM1057015_STAT1_peaks.narrowPeak" "Monocyte"
"GSM1057024" "IRF1" "BLOOD" "Monocytes-CD14+" "171" "PRJNA184728_GSM1057024_IRF1_peaks.narrowPeak" "Monocyte"
"GSM1057025" "IRF1" "BLOOD" "Monocytes-CD14+" "171" "PRJNA184728_GSM1057025_IRF1_peaks.narrowPeak" "Monocyte"
"GSM1057026" "IRF1" "BLOOD" "Monocytes-CD14+" "171" "PRJNA184728_GSM1057026_IRF1_peaks.narrowPeak" "Monocyte"
"GSM1057027" "IRF1" "BLOOD" "Monocytes-CD14+" "171" "PRJNA184728_GSM1057027_IRF1_peaks.narrowPeak" "Monocyte"
"GSM1056928" "ETS1" "BLOOD" "Treg" "172" "PRJNA185269_GSM1056928_ETS1_peaks.narrowPeak" "Treg"
"GSM1056929" "ETS1" "BLOOD" "Treg" "172" "PRJNA185269_GSM1056929_ETS1_peaks.narrowPeak" "Treg"
"GSM1056930" "ETS1" "BLOOD" "Treg" "172" "PRJNA185269_GSM1056930_ETS1_peaks.narrowPeak" "Treg"
"GSM1056931" "ETS1" "BLOOD" "CD4-Positive T-Lymphocytes" "173" "PRJNA185269_GSM1056931_ETS1_peaks.narrowPeak" "CD4 T cell"
"GSM1056932" "ETS1" "BLOOD" "CD4-Positive T-Lymphocytes" "173" "PRJNA185269_GSM1056932_ETS1_peaks.narrowPeak" "CD4 T cell"
"GSM1056933" "RUNX1" "BLOOD" "Treg" "174" "PRJNA185269_GSM1056933_RUNX1_peaks.narrowPeak" "Treg"
"GSM1056934" "RUNX1" "BLOOD" "CD4-Positive T-Lymphocytes" "175" "PRJNA185269_GSM1056934_RUNX1_peaks.narrowPeak" "CD4 T cell"
"GSM1056935" "RUNX1" "BLOOD" "CD4-Positive T-Lymphocytes" "175" "PRJNA185269_GSM1056935_RUNX1_peaks.narrowPeak" "CD4 T cell"
"GSM1056936" "FOXP3" "BLOOD" "Treg" "176" "PRJNA185269_GSM1056936_FOXP3_peaks.narrowPeak" "Treg"
"GSM1056937" "FOXP3" "BLOOD" "Treg" "176" "PRJNA185269_GSM1056937_FOXP3_peaks.narrowPeak" "Treg"
"GSM1056938" "FOXP3" "BLOOD" "CD4-Positive T-Lymphocytes" "177" "PRJNA185269_GSM1056938_FOXP3_peaks.narrowPeak" "CD4 T cell"
"GSM1056939" "FOXP3" "BLOOD" "CD4-Positive T-Lymphocytes" "177" "PRJNA185269_GSM1056939_FOXP3_peaks.narrowPeak" "CD4 T cell"
"GSM898060" "BCL6" "BLOOD" "B-Lymphocytes" "178" "PRJNA185984_GSM898060_BCL6_peaks.narrowPeak" "B cell"
"GSM1065711" "HSF1" "BLOOD" "K-562" "179" "PRJNA186755_GSM1065711_HSF1_peaks.narrowPeak" "Myeloid"
