"Accession" "TF" "Tissue" "Cell" "IMPACT" "File" "CellDeriv"
"GSM575225" "CDX2" "GI" "Caco-2" "20" "PRJNA131107_GSM575225_CDX2_peaks.narrowPeak" "Colon"
"GSM575226" "GATA6" "GI" "Caco-2" "21" "PRJNA131107_GSM575226_GATA6_peaks.narrowPeak" "Colon"
"GSM575227" "GATA6" "GI" "Caco-2" "21" "PRJNA131107_GSM575227_GATA6_peaks.narrowPeak" "Colon"
"GSM575228" "HNF4A" "GI" "Caco-2" "22" "PRJNA131107_GSM575228_HNF4A_peaks.narrowPeak" "Colon"
"GSM575229" "HNF4A" "GI" "Caco-2" "22" "PRJNA131107_GSM575229_HNF4A_peaks.narrowPeak" "Colon"
"GSM612960" "GABPA" "BLOOD" "CD34 Hematopoietic stem cells" "23" "PRJNA131925_GSM612960_GABPA_peaks.narrowPeak" "Hematopoietic progenitors "
"GSM607949" "GATA1" "BLOOD" "CD34+" "24" "PRJNA132361_GSM607949_GATA1_peaks.narrowPeak" "Hematopoietic progenitors "
"GSM607950" "GATA2" "BLOOD" "CD34+" "25" "PRJNA132361_GSM607950_GATA2_peaks.narrowPeak" "Hematopoietic progenitors "
"GSM607951" "RUNX1" "BLOOD" "CD34+" "26" "PRJNA132361_GSM607951_RUNX1_peaks.narrowPeak" "Hematopoietic progenitors "
"GSM607952" "FLI1" "BLOOD" "CD34+" "27" "PRJNA132361_GSM607952_FLI1_peaks.narrowPeak" "Hematopoietic progenitors "
"GSM599837" "E2F4" "ADIPOCYTE" "Adipocytes" "28" "PRJNA132733_GSM599837_E2F4_peaks.narrowPeak" "Adipocytes"
"GSM599838" "CEBPA" "ADIPOCYTE" "Adipocytes" "29" "PRJNA132733_GSM599838_CEBPA_peaks.narrowPeak" "Adipocytes"
"GSM599839" "HSF1" "ADIPOCYTE" "Adipocytes" "30" "PRJNA132733_GSM599839_HSF1_peaks.narrowPeak" "Adipocytes"
"GSM586971" "SOX2" "NEURAL" "LN229" "31" "PRJNA133145_GSM586971_SOX2_peaks.narrowPeak" "Brain"
"GSM610330" "RUNX1" "BLOOD" "CMK" "32" "PRJNA133387_GSM610330_RUNX1_peaks.narrowPeak" "Hematopoietic progenitors "
"GSM610332" "RUNX1" "BLOOD" "K-562" "33" "PRJNA133387_GSM610332_RUNX1_peaks.narrowPeak" "Myeloid"
"GSM610334" "RUNX1" "BLOOD" "K-562" "33" "PRJNA133387_GSM610334_RUNX1_peaks.narrowPeak" "Myeloid"
"GSM610335" "GATA1" "BLOOD" "K-562" "34" "PRJNA133387_GSM610335_GATA1_peaks.narrowPeak" "Myeloid"
"GSM610336" "FOS" "BLOOD" "K-562" "35" "PRJNA133387_GSM610336_FOS_peaks.narrowPeak" "Myeloid"
"GSM610337" "FOS" "BLOOD" "K-562" "35" "PRJNA133387_GSM610337_FOS_peaks.narrowPeak" "Myeloid"
"GSM640691" "EOMES" "STEMCELL" "hESC derived mesendodermal cells" "36" "PRJNA135173_GSM640691_EOMES_peaks.narrowPeak" "Mesendoderm"
"GSM640427" "BCL6" "BLOOD" "JURL-MK1" "37" "PRJNA135225_GSM640427_BCL6_peaks.narrowPeak" "Myeloid"
"GSM638310" "SPI1" "BLOOD" "Hematopoietic Stem Cells" "38" "PRJNA135475_GSM638310_SPI1_peaks.narrowPeak" "Hematopoietic progenitors "
